justice,gender,role,cases_heard,total_words_spoken,total_turns,interruptions_made,interruptions_received,rate_made_per_1k_words,rate_received_per_1k_words,avg_words_per_turn
Moldaver,M,Puisne Justice,81,82779,877,143,44,1.7274912719409512,0.5315357759818312,94.38882554161916
Brown,M,Puisne Justice,101,78180,1615,296,96,3.786134561268867,1.2279355333844972,48.408668730650156
Kasirer,M,Puisne Justice,103,65063,897,116,33,1.782887355332524,0.5072007131549422,72.5340022296544
Rowe,M,Puisne Justice,98,53656,840,90,36,1.6773520202773222,0.6709408081109288,63.87619047619047
Wagner,M,Chief Justice,103,43443,1567,216,471,4.972032318210068,10.841792693874734,27.72367581365667
Karakatsanis,F,Puisne Justice,92,38028,629,131,42,3.444830125170927,1.104449353108236,60.45786963434022
Martin,F,Puisne Justice,83,37087,488,81,21,2.1840537115431284,0.5662361474371074,75.99795081967213
Abella,F,Puisne Justice,41,31179,585,75,30,2.4054652169729627,0.962186086789185,53.297435897435896
Jamal,M,Puisne Justice,44,14483,184,22,8,1.5190223020092524,0.5523717461851826,78.71195652173913
Côté,F,Puisne Justice,20,3504,62,7,5,1.9977168949771689,1.4269406392694064,56.516129032258064
